"COUNTY","DENSITY","POP","NAME","STATE","state","county",
"009","365.9844659","92039","Cape May County, New Jersey","34","34","009",
"007","2288.1000494","506471","Camden County, New Jersey","34","34","007",
"003","4004.5571387","932202","Bergen County, New Jersey","34","34","003",
"039","5413.6512622","556341","Union County, New Jersey","34","34","039",
"041","295.24915188","105267","Warren County, New Jersey","34","34","041",
"017","14555.938983","672391","Hudson County, New Jersey","34","34","017",
"019","290.70129177","124371","Hunterdon County, New Jersey","34","34","019",
"005","557.17907045","445349","Burlington County, New Jersey","34","34","005",
"027","1067.0035589","491845","Morris County, New Jersey","34","34","027",
"023","1.2208692786","4198","Hidalgo County, New Mexico","35","35","023",
"029","7.995808434","23709","Luna County, New Mexico","35","35","029",
"031","13.093231143","71367","McKinley County, New Mexico","35","35","031",
"043","39.553538726","146748","Sandoval County, New Mexico","35","35","043",
"055","14.858065134","32723","Taos County, New Mexico","35","35","055",
"017","6.8156016916","26998","Grant County, New Mexico","35","35","017",
"009","34.829990059","48954","Curry County, New Mexico","35","35","009",
"007","3.1775091604","11941","Colfax County, New Mexico","35","35","007",
"015","13.997886242","58460","Eddy County, New Mexico","35","35","015",
"021","0.2940514703","625","Harding County, New Mexico","35","35","021",
"033","2.3470481057","4521","Mora County, New Mexico","35","35","033",
"109","40.831293511","20394","Wyoming County, West Virginia","54","54","109",
"035","61.538550758","28576","Jackson County, West Virginia","54","54","035",
"055","140.24667584","58758","Mercer County, West Virginia","54","54","055",
"097","68.17101728","24176","Upshur County, West Virginia","54","54","097",
"101","14.660226516","8114","Webster County, West Virginia","54","54","101",
"003","371.07751753","119171","Berkeley County, West Virginia","54","54","003",
"019","64.09488481","42406","Fayette County, West Virginia","54","54","019",
"051","7.5005740842","5687","Iron County, Wisconsin","55","55","051",
"019","28.746068785","34774","Clark County, Wisconsin","55","55","019",
"109","125.52631489","90687","St. Croix County, Wisconsin","55","55","109",
"083","38.025778939","37930","Oconto County, Wisconsin","55","55","083",
"069","31.401931117","27593","Lincoln County, Wisconsin","55","55","069",
"135","68.196382028","50990","Waupaca County, Wisconsin","55","55","135",
"005","52.42390731","45244","Barron County, Wisconsin","55","55","005",
"113","13.166078145","16558","Sawyer County, Wisconsin","55","55","113",
"047","54.10763675","18913","Green Lake County, Wisconsin","55","55","047",
"099","10.646262077","13351","Price County, Wisconsin","55","55","099",
"077","34.175105158","15574","Marquette County, Wisconsin","55","55","077",
"075","28.83243346","40350","Marinette County, Wisconsin","55","55","075",
